full_name,yob,occupation,female,party,list_state,list_rank,elec_district,elected,elec_year,direct_cand,list_cand,last_name,first_name,age,occ_1,occ_2,occ_3,occ_4,legislator_status,is_legislator,is_only_legislator,legislative_position
"ABEGG, FRIEDRICH",1924,gewerkschaftssekretär,0,spd,NI,81,NA,0,1980,0,1,ABEGG,FRIEDRICH,56,gewerkschaftssekretär,NA,NA,NA,not_legis,FALSE,FALSE,NA
"ABELEIN, PROF. DR. MANFRED",1930,universitätsprofessor,0,cdu_csu,,NA,174,1,1980,1,0,ABELEIN,PROF. DR. MANFRED,50,universitätsprofessor,NA,NA,NA,is_legis,TRUE,FALSE,mdb
"ACHTERBERG, GERD-MANFRED",1948,rechtsanwalt,0,fdp,,NA,6,0,1980,1,0,ACHTERBERG,GERD-MANFRED,32,rechtsanwalt,NA,NA,NA,not_legis,FALSE,FALSE,NA
"ADAM, WILFRID",1947,stadtjugendpfleger,0,spd,NI,47,NA,0,1980,0,1,ADAM,WILFRID,33,stadtjugendpfleger,NA,NA,NA,not_legis,FALSE,FALSE,NA
"ADAM-SCHWAETZER, DR. IRMGARD",1942,apothekerin,1,fdp,NW,14,56,1,1980,1,1,ADAM-SCHWAETZER,DR. IRMGARD,38,apothekerin,NA,NA,NA,not_legis,FALSE,FALSE,NA
"ADERHOLD, HANS-JOACHIM",1945,diplom-ingenieur,0,greens,BW,10,168,0,1980,1,1,ADERHOLD,HANS-JOACHIM,35,diplom ingenieur,NA,NA,NA,not_legis,FALSE,FALSE,NA
"ADOLPH, KARLHEINZ WILHELM",1941,rundfunksprecher,0,fdp,HE,53,NA,0,1980,0,1,ADOLPH,KARLHEINZ WILHELM,39,rundfunksprecher,NA,NA,NA,not_legis,FALSE,FALSE,NA
"AERSSEN, DR. JOCHEN VAN",1941,"rechtsanwalt, diplom-volkswirt",0,cdu_csu,,NA,81,1,1980,1,0,AERSSEN,DR. JOCHEN VAN,39,rechtsanwalt,diplom volkswirt,NA,NA,not_legis,FALSE,FALSE,NA
"AGRICOLA, GISELA CHRISTA MINNA",1934,hausfrau,1,spd,HE,52,NA,0,1980,0,1,AGRICOLA,GISELA CHRISTA MINNA,46,hausfrau,NA,NA,NA,not_legis,FALSE,FALSE,NA
"AHRENS, DR. KARL",1924,ministerialdirigent a.d.,0,spd,NI,5,30,1,1980,1,1,AHRENS,DR. KARL,56,ministerialdirigent,NA,NA,NA,only_legis,TRUE,TRUE,ministerialdirigent a.d.
"ALBES, WOLF-DIETRICH",1954,student,0,greens,BY,54,NA,0,1980,0,1,ALBES,WOLF-DIETRICH,26,student,NA,NA,NA,not_legis,FALSE,FALSE,NA
"ALBRECHT, DR. DIETMAR",1941,dozent,0,fdp,,NA,1,0,1980,1,0,ALBRECHT,DR. DIETMAR,39,dozent,NA,NA,NA,not_legis,FALSE,FALSE,NA
"ALEX, DR. ING. WULF",1937,ingenieur,0,fdp,BW,36,176,0,1980,1,1,ALEX,DR. ING. WULF,43,ingenieur,NA,NA,NA,not_legis,FALSE,FALSE,NA
"ALLENDORF, VOLKER",1952,lehrer,0,spd,HE,75,NA,0,1980,0,1,ALLENDORF,VOLKER,28,lehrer,NA,NA,NA,not_legis,FALSE,FALSE,NA
"ALLER, HEINRICH",1947,lehrer,0,spd,NI,50,NA,0,1980,0,1,ALLER,HEINRICH,33,lehrer,NA,NA,NA,not_legis,FALSE,FALSE,NA
"ALTEKRUSE, WILHELM DIETRICH",1921,architekt,0,fdp,NW,45,114,0,1980,1,1,ALTEKRUSE,WILHELM DIETRICH,59,architekt,NA,NA,NA,not_legis,FALSE,FALSE,NA
"ALTHAMMER, DR. WALTER",1928,rechtsanwalt,0,cdu_csu,,NA,239,1,1980,1,0,ALTHAMMER,DR. WALTER,52,rechtsanwalt,NA,NA,NA,not_legis,FALSE,FALSE,NA
"ALTMAIER, PETER",1958,student,0,cdu_csu,SL,26,NA,0,1980,0,1,ALTMAIER,PETER,22,student,NA,NA,NA,not_legis,FALSE,FALSE,NA
"AMLING, MAX",1934,dgb-kreisvorsitzender,0,spd,BY,15,238,1,1980,1,1,AMLING,MAX,46,NA,dgb kreisvorsitzender,NA,NA,is_legis,TRUE,FALSE,mdb
"ANDELFINGER, CHRISTIAN",1945,lehrer,0,greens,,NA,196,0,1980,1,0,ANDELFINGER,CHRISTIAN,35,lehrer,NA,NA,NA,not_legis,FALSE,FALSE,NA
"ANGERMEYER, JOACHIM",1923,kaufmann,0,fdp,,NA,32,0,1980,1,0,ANGERMEYER,JOACHIM,57,kaufmann,NA,NA,NA,not_legis,FALSE,FALSE,NA
"ANTONY, MECHTHILD",1950,studienrätin,1,fdp,RP,6,NA,0,1980,0,1,ANTONY,MECHTHILD,30,studienrätin,NA,NA,NA,not_legis,FALSE,FALSE,NA
"ANTRETTER, ROBERT",1939,leitender landesgeschäftsführer,0,spd,BW,18,173,1,1980,1,1,ANTRETTER,ROBERT,41,leitender landesgeschäftsführer,NA,NA,NA,not_legis,FALSE,FALSE,NA
"APEL, DR. HANS",1932,der verteidigung,0,spd,HH,3,15,1,1980,1,1,APEL,DR. HANS,48,verteidigung,NA,NA,NA,only_legis,TRUE,TRUE,bundesminister der verteidigung
"APEL, HELMUT",1930,bundesbahnbeamter,0,spd,HE,39,NA,0,1980,0,1,APEL,HELMUT,50,bundesbahnbeamter,NA,NA,NA,not_legis,FALSE,FALSE,NA
"APENBURG, TANIA",1961,schülerin,1,greens,SH,7,NA,0,1980,0,1,APENBURG,TANIA,19,schülerin,NA,NA,NA,not_legis,FALSE,FALSE,NA
"ARLT, GERD",1943,lehrer,0,fdp,,NA,86,0,1980,1,0,ARLT,GERD,37,lehrer,NA,NA,NA,not_legis,FALSE,FALSE,NA
"ARNING, HERMAN FERDINAND",1911,rechtsanwalt,0,fdp,HH,9,NA,0,1980,0,1,ARNING,HERMAN FERDINAND,69,rechtsanwalt,NA,NA,NA,not_legis,FALSE,FALSE,NA
"ARNOLD, DR. GOTTFRIED",1933,rechtsanwalt,0,cdu_csu,NW,49,74,1,1980,1,1,ARNOLD,DR. GOTTFRIED,47,rechtsanwalt,NA,NA,NA,is_legis,TRUE,FALSE,mdb
"ARNOLD, DR. MICHAEL",1948,regierungsrat,0,cdu_csu,BW,9,NA,0,1980,0,1,ARNOLD,DR. MICHAEL,32,regierungsrat,NA,NA,NA,not_legis,FALSE,FALSE,NA
"AROLD, ANTJE",1938,amtsjuristin,1,spd,HE,40,NA,0,1980,0,1,AROLD,ANTJE,42,amtsjuristin,NA,NA,NA,not_legis,FALSE,FALSE,NA
"ASSMANN, HEINZ OTTO",1931,bezirksleiter,0,spd,NW,37,NA,0,1980,0,1,ASSMANN,HEINZ OTTO,49,bezirksleiter,NA,NA,NA,not_legis,FALSE,FALSE,NA
"AUCH, DIETER",1941,werkzeugmacher,0,spd,BW,25,166,1,1980,1,1,AUCH,DIETER,39,werkzeugmacher,NA,NA,NA,not_legis,FALSE,FALSE,NA
"AUGUSTIN, ANNELIESE",1930,apothekerin,1,cdu_csu,HE,23,NA,0,1980,0,1,AUGUSTIN,ANNELIESE,50,apothekerin,NA,NA,NA,not_legis,FALSE,FALSE,NA
"AUHAGEN, FRIEDRICH-HENDRIK",1951,doktorand,0,greens,,NA,191,0,1980,1,0,AUHAGEN,FRIEDRICH-HENDRIK,29,doktorand,NA,NA,NA,not_legis,FALSE,FALSE,NA
"AUSSENHOFER, WALTER",1956,student,0,greens,BY,37,237,0,1980,1,1,AUSSENHOFER,WALTER,24,student,NA,NA,NA,not_legis,FALSE,FALSE,NA
"AUSTERMANN, DIETRICH",1941,NA,0,cdu_csu,SH,12,3,0,1980,1,1,AUSTERMANN,DIETRICH,39,NA,NA,NA,NA,only_legis,TRUE,TRUE,bürgermeister
